PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Order_Value,Defect_Rate,Delivery_Time,Compliance_Flag,Efficiency,Project_Progress,Week
PO-00001,Alpha_Inc,2023-10-17,2023-10-25 00:00:00.000000000,Office Supplies,Cancelled,0.22731865023237022,0.09447777890775959,0.08703628210354666,0.0,Yes,0.05137469728051979,0.0,0.52,0,0.0,0.48,1
PO-00002,Delta_Logistics,2022-04-25,2022-05-05 00:00:00.000000000,Office Supplies,Delivered,0.2946049707011518,0.28963693684531683,0.28607827150428056,0.7320872274143302,Yes,0.1317041876260463,0.4360503644797879,0.6000000000000001,0,0.0,0.4,2
PO-00003,Gamma_Co,2022-01-26,2022-02-15 00:00:00.000000000,MRO,Delivered,0.17357041826631645,0.8610800366114106,0.8458010599266206,0.1277258566978193,Yes,0.19383102131600166,0.12615384615384614,1.0,0,0.0,0.0,3
PO-00004,Beta_Supplies,2022-10-09,2022-10-28 00:00:00.000000000,Packaging,Delivered,0.2612649020004042,0.9052171260042714,0.8790256828373421,0.34890965732087226,Yes,0.3003430013598865,0.2333333333333333,0.96,0,0.0,0.04,4
PO-00005,Delta_Logistics,2022-09-08,2022-09-20 00:00:00.000000000,Raw Materials,Delivered,0.2281268943220853,0.5413403844198108,0.5224215246636772,0.5327102803738317,No,0.16835088811605145,0.4057627118644067,0.6799999999999999,0,0.0,0.32,5
PO-00006,Epsilon_Group,2022-08-17,2022-08-29 00:00:00.000000000,MRO,Delivered,0.22105475853707823,0.5936133428251804,0.5534039951080311,0.12149532710280374,Yes,0.17655672317129953,0.0953711790393013,0.6799999999999999,0,0.0,0.32,6
PO-00007,Gamma_Co,2022-05-23,2022-06-03 00:00:00.000000000,MRO,Delivered,0.3481511416447768,0.4121834638462321,0.39288626172034247,0.29906542056074764,No,0.20332855709890274,0.15152198421645996,0.64,0,0.0,0.35999999999999993,7
PO-00008,Alpha_Inc,2022-04-15,2022-04-29 00:00:00.000000000,MRO,Delivered,0.21074964639321078,0.26533102817044646,0.23960456583774972,0.06853582554517133,Yes,0.08905718213581701,0.05630712979890311,0.76,0,0.0,0.24,8
PO-00009,Gamma_Co,2023-11-24,2023-11-28 00:00:00.000000000,Raw Materials,Partially Delivered,0.33077389371590227,0.33651988202989935,0.3120668569099062,0.2772585669781931,Yes,0.16508743076956695,0.1476303317535545,0.36,0,0.0,0.64,9
PO-00010,Gamma_Co,2023-07-13,2023-07-25 00:00:00.000000000,Raw Materials,Pending,0.024247322691452824,0.6715142886199533,0.620974317162658,0.024922118380062305,Yes,0.02765921788842083,0.1309941520467836,0.6799999999999999,0,0.0,0.32,10
PO-00011,Epsilon_Group,2022-03-31,2022-04-15 00:00:00.000000000,Raw Materials,Delivered,1.0,0.6879894233702837,0.6564410925397474,0.056074766355140186,Yes,0.8820770920729002,0.010079999999999999,0.8,0,0.0,0.2,11
